block_geo_id,county_geo_id,state_fips_code,county_fips_code,block_group_fips_code,state_name,county_name,state,block_year,county_year,block_adi_percent,county_adi_percent,
65,15000US010150006001,05000US01015,1,1015,10150006001,Alabama,Calhoun County,AL,2018,2018,99,73
66,15000US010150010002,05000US01015,1,1015,10150010002,Alabama,Calhoun County,AL,2019,2018,48,73
67,15000US010150010003,05000US01015,1,1015,10150010003,Alabama,Calhoun County,AL,2018,2018,26,73
68,15000US010150015002,05000US01015,1,1015,10150015002,Alabama,Calhoun County,AL,2018,2018,77,73
69,15000US010150016002,05000US01015,1,1015,10150016002,Alabama,Calhoun County,AL,2019,2018,63,73
70,15000US010150016003,05000US01015,1,1015,10150016003,Alabama,Calhoun County,AL,2019,2018,82,73
71,15000US010150020005,05000US01015,1,1015,10150020005,Alabama,Calhoun County,AL,2020,2018,53,73
72,15000US010150021012,05000US01015,1,1015,10150021012,Alabama,Calhoun County,AL,2020,2018,87,73
73,15000US010150021031,05000US01015,1,1015,10150021031,Alabama,Calhoun County,AL,2018,2018,88,73
74,15000US010150023001,05000US01015,1,1015,10150023001,Alabama,Calhoun County,AL,2020,2018,84,73
75,15000US010150024001,05000US01015,1,1015,10150024001,Alabama,Calhoun County,AL,2018,2018,56,73
76,15000US010150024002,05000US01015,1,1015,10150024002,Alabama,Calhoun County,AL,2018,2018,46,73
77,15000US010150025011,05000US01015,1,1015,10150025011,Alabama,Calhoun County,AL,2018,2018,78,73
78,15000US010150025014,05000US01015,1,1015,10150025014,Alabama,Calhoun County,AL,2019,2018,37,73
79,15000US010150025023,05000US01015,1,1015,10150025023,Alabama,Calhoun County,AL,2018,2018,58,73
80,15000US010150026001,05000US01015,1,1015,10150026001,Alabama,Calhoun County,AL,2020,2018,45,73
81,15000US010150026003,05000US01015,1,1015,10150026003,Alabama,Calhoun County,AL,2018,2018,62,73
82,15000US010179538001,05000US01017,1,1017,10179538001,Alabama,Chambers County,AL,2019,2018,55,81
83,15000US010179539001,05000US01017,1,1017,10179539001,Alabama,Chambers County,AL,2020,2018,41,81
84,15000US010179539003,05000US01017,1,1017,10179539003,Alabama,Chambers County,AL,2020,2018,91,81
85,15000US010179543001,05000US01017,1,1017,10179543001,Alabama,Chambers County,AL,2019,2018,60,81
86,15000US010179543004,05000US01017,1,1017,10179543004,Alabama,Chambers County,AL,2018,2018,56,81
87,15000US010179546001,05000US01017,1,1017,10179546001,Alabama,Chambers County,AL,2019,2018,72,81
88,15000US010179546003,05000US01017,1,1017,10179546003,Alabama,Chambers County,AL,2020,2018,88,81
89,15000US010179547004,05000US01017,1,1017,10179547004,Alabama,Chambers County,AL,2019,2018,67,81
90,15000US010199557011,05000US01019,1,1019,10199557011,Alabama,Cherokee County,AL,2020,2018,79,66
91,15000US010199557012,05000US01019,1,1019,10199557012,Alabama,Cherokee County,AL,2020,2018,56,66
92,15000US010199557013,05000US01019,1,1019,10199557013,Alabama,Cherokee County,AL,2020,2018,64,66
93,15000US010199557021,05000US01019,1,1019,10199557021,Alabama,Cherokee County,AL,2018,2018,81,66
94,15000US010199558001,05000US01019,1,1019,10199558001,Alabama,Cherokee County,AL,2018,2018,69,66
95,15000US010199560001,05000US01019,1,1019,10199560001,Alabama,Cherokee County,AL,2019,2018,48,66
96,15000US010199560003,05000US01019,1,1019,10199560003,Alabama,Cherokee County,AL,2020,2018,73,66
97,15000US010210604021,05000US01021,1,1021,10210604021,Alabama,Chilton County,AL,2019,2018,77,75
98,15000US010210604021,05000US01021,1,1021,10210604021,Alabama,Chilton County,AL,2020,2018,79,75
99,15000US010210604025,05000US01021,1,1021,10210604025,Alabama,Chilton County,AL,2019,2018,79,75
100,15000US010210607001,05000US01021,1,1021,10210607001,Alabama,Chilton County,AL,2018,2018,69,75
101,15000US010239567004,05000US01023,1,1023,10239567004,Alabama,Choctaw County,AL,2019,2018,82,88
102,15000US010239568003,05000US01023,1,1023,10239568003,Alabama,Choctaw County,AL,2018,2018,62,88
103,15000US010239569001,05000US01023,1,1023,10239569001,Alabama,Choctaw County,AL,2018,2018,84,88
104,15000US010239569002,05000US01023,1,1023,10239569002,Alabama,Choctaw County,AL,2018,2018,63,88
105,15000US010239569004,05000US01023,1,1023,10239569004,Alabama,Choctaw County,AL,2020,2018,66,88
106,15000US010259576022,05000US01025,1,1025,10259576022,Alabama,Clarke County,AL,2018,2018,38,93
107,15000US010259580011,05000US01025,1,1025,10259580011,Alabama,Clarke County,AL,2019,2018,75,93
108,15000US010279589004,05000US01027,1,1027,10279589004,Alabama,Clay County,AL,2018,2018,60,88
109,15000US010279590003,05000US01027,1,1027,10279590003,Alabama,Clay County,AL,2020,2018,39,88
110,15000US010279590003,05000US01027,1,1027,10279590003,Alabama,Clay County,AL,2018,2018,37,88
111,15000US010279591001,05000US01027,1,1027,10279591001,Alabama,Clay County,AL,2018,2018,66,88
112,15000US010279591003,05000US01027,1,1027,10279591003,Alabama,Clay County,AL,2018,2018,72,88
113,15000US010279592001,05000US01027,1,1027,10279592001,Alabama,Clay County,AL,2018,2018,78,88
114,15000US010279592002,05000US01027,1,1027,10279592002,Alabama,Clay County,AL,2020,2018,87,88
115,15000US010279592002,05000US01027,1,1027,10279592002,Alabama,Clay County,AL,2019,2018,78,88
116,15000US010299595001,05000US01029,1,1029,10299595001,Alabama,Cleburne County,AL,2018,2018,78,75
117,15000US010299597001,05000US01029,1,1029,10299597001,Alabama,Cleburne County,AL,2019,2018,74,75
118,15000US010310101002,05000US01031,1,1031,10310101002,Alabama,Coffee County,AL,2020,2018,76,51
119,15000US010310103001,05000US01031,1,1031,10310103001,Alabama,Coffee County,AL,2018,2018,56,51
120,15000US010310105005,05000US01031,1,1031,10310105005,Alabama,Coffee County,AL,2018,2018,83,51
121,15000US010310106001,05000US01031,1,1031,10310106001,Alabama,Coffee County,AL,2019,2018,85,51
122,15000US010310106002,05000US01031,1,1031,10310106002,Alabama,Coffee County,AL,2019,2018,61,51
123,15000US010310108001,05000US01031,1,1031,10310108001,Alabama,Coffee County,AL,2020,2018,44,51
124,15000US010310109001,05000US01031,1,1031,10310109001,Alabama,Coffee County,AL,2020,2018,78,51
125,15000US010310110001,05000US01031,1,1031,10310110001,Alabama,Coffee County,AL,2018,2018,70,51
126,15000US010310112012,05000US01031,1,1031,10310112012,Alabama,Coffee County,AL,2018,2018,22,51
127,15000US010310112012,05000US01031,1,1031,10310112012,Alabama,Coffee County,AL,2020,2018,19,51
128,15000US010310112022,05000US01031,1,1031,10310112022,Alabama,Coffee County,AL,2020,2018,63,51
129,15000US010310112022,05000US01031,1,1031,10310112022,Alabama,Coffee County,AL,2019,2018,66,51
130,15000US010310112023,05000US01031,1,1031,10310112023,Alabama,Coffee County,AL,2019,2018,81,51
131,15000US010310112023,05000US01031,1,1031,10310112023,Alabama,Coffee County,AL,2018,2018,78,51
132,15000US010310112023,05000US01031,1,1031,10310112023,Alabama,Coffee County,AL,2020,2018,83,51
133,15000US010310113001,05000US01031,1,1031,10310113001,Alabama,Coffee County,AL,2020,2018,92,51
134,15000US010330202001,05000US01033,1,1033,10330202001,Alabama,Colbert County,AL,2018,2018,80,58
135,15000US010330204001,05000US01033,1,1033,10330204001,Alabama,Colbert County,AL,2020,2018,33,58
136,15000US010330204002,05000US01033,1,1033,10330204002,Alabama,Colbert County,AL,2020,2018,33,58
137,15000US010330205004,05000US01033,1,1033,10330205004,Alabama,Colbert County,AL,2019,2018,36,58
138,15000US010330205004,05000US01033,1,1033,10330205004,Alabama,Colbert County,AL,2018,2018,39,58
139,15000US010330206001,05000US01033,1,1033,10330206001,Alabama,Colbert County,AL,2020,2018,57,58
140,15000US010330206004,05000US01033,1,1033,10330206004,Alabama,Colbert County,AL,2019,2018,81,58
141,15000US010330207011,05000US01033,1,1033,10330207011,Alabama,Colbert County,AL,2019,2018,63,58
142,15000US010330207032,05000US01033,1,1033,10330207032,Alabama,Colbert County,AL,2019,2018,46,58
143,15000US010330207042,05000US01033,1,1033,10330207042,Alabama,Colbert County,AL,2018,2018,51,58
144,15000US010330207044,05000US01033,1,1033,10330207044,Alabama,Colbert County,AL,2018,2018,53,58
145,15000US010330208022,05000US01033,1,1033,10330208022,Alabama,Colbert County,AL,2020,2018,56,58
146,15000US010330210003,05000US01033,1,1033,10330210003,Alabama,Colbert County,AL,2019,2018,84,58
147,15000US010330210003,05000US01033,1,1033,10330210003,Alabama,Colbert County,AL,2020,2018,75,58
148,15000US010330210004,05000US01033,1,1033,10330210004,Alabama,Colbert County,AL,2019,2018,73,58
149,15000US010359603002,05000US01035,1,1035,10359603002,Alabama,Conecuh County,AL,2019,2018,71,97
150,15000US010359605002,05000US01035,1,1035,10359605002,Alabama,Conecuh County,AL,2018,2018,89,97
151,15000US010379610003,05000US01037,1,1037,10379610003,Alabama,Coosa County,AL,2020,2018,81,88
152,15000US010379611002,05000US01037,1,1037,10379611002,Alabama,Coosa County,AL,2018,2018,82,88
153,15000US010379612001,05000US01037,1,1037,10379612001,Alabama,Coosa County,AL,2019,2018,73,88
154,15000US010379612003,05000US01037,1,1037,10379612003,Alabama,Coosa County,AL,2019,2018,44,88
155,15000US010399616001,05000US01039,1,1039,10399616001,Alabama,Covington County,AL,2018,2018,52,75
156,15000US010399616003,05000US01039,1,1039,10399616003,Alabama,Covington County,AL,2020,2018,43,75
157,15000US010399619001,05000US01039,1,1039,10399619001,Alabama,Covington County,AL,2020,2018,53,75
158,15000US010399620003,05000US01039,1,1039,10399620003,Alabama,Covington County,AL,2019,2018,60,75
159,15000US010399623001,05000US01039,1,1039,10399623001,Alabama,Covington County,AL,2018,2018,73,75
160,15000US010399625001,05000US01039,1,1039,10399625001,Alabama,Covington County,AL,2019,2018,64,75
161,15000US010399627001,05000US01039,1,1039,10399627001,Alabama,Covington County,AL,2020,2018,86,75
162,15000US010399627002,05000US01039,1,1039,10399627002,Alabama,Covington County,AL,2019,2018,97,75
163,15000US010399628001,05000US01039,1,1039,10399628001,Alabama,Covington County,AL,2018,2018,84,75
164,15000US010399628002,05000US01039,1,1039,10399628002,Alabama,Covington County,AL,2019,2018,70,75
165,15000US010399630004,05000US01039,1,1039,10399630004,Alabama,Covington County,AL,2019,2018,73,75
166,15000US010419634001,05000US01041,1,1041,10419634001,Alabama,Crenshaw County,AL,2018,2018,70,78
167,15000US010439641002,05000US01043,1,1043,10439641002,Alabama,Cullman County,AL,2019,2018,77,62
168,15000US010439641004,05000US01043,1,1043,10439641004,Alabama,Cullman County,AL,2020,2018,71,62
169,15000US010439642001,05000US01043,1,1043,10439642001,Alabama,Cullman County,AL,2018,2018,72,62
170,15000US010439643003,05000US01043,1,1043,10439643003,Alabama,Cullman County,AL,2020,2018,41,62
171,15000US010439643004,05000US01043,1,1043,10439643004,Alabama,Cullman County,AL,2018,2018,40,62
172,15000US010439644001,05000US01043,1,1043,10439644001,Alabama,Cullman County,AL,2020,2018,59,62
173,15000US010439644001,05000US01043,1,1043,10439644001,Alabama,Cullman County,AL,2018,2018,57,62
174,15000US010439645002,05000US01043,1,1043,10439645002,Alabama,Cullman County,AL,2020,2018,51,62
175,15000US010439647001,05000US01043,1,1043,10439647001,Alabama,Cullman County,AL,2018,2018,36,62
176,15000US010439648003,05000US01043,1,1043,10439648003,Alabama,Cullman County,AL,2019,2018,87,62
177,15000US010439648003,05000US01043,1,1043,10439648003,Alabama,Cullman County,AL,2020,2018,85,62
178,15000US010439650001,05000US01043,1,1043,10439650001,Alabama,Cullman County,AL,2020,2018,54,62
179,15000US010439650002,05000US01043,1,1043,10439650002,Alabama,Cullman County,AL,2018,2018,41,62
180,15000US010439651002,05000US01043,1,1043,10439651002,Alabama,Cullman County,AL,2019,2018,49,62
181,15000US010439651002,05000US01043,1,1043,10439651002,Alabama,Cullman County,AL,2020,2018,51,62
182,15000US010439652001,05000US01043,1,1043,10439652001,Alabama,Cullman County,AL,2020,2018,65,62
183,15000US010439652001,05000US01043,1,1043,10439652001,Alabama,Cullman County,AL,2018,2018,65,62
184,15000US010439653002,05000US01043,1,1043,10439653002,Alabama,Cullman County,AL,2018,2018,55,62
185,15000US010439653003,05000US01043,1,1043,10439653003,Alabama,Cullman County,AL,2018,2018,66,62
186,15000US010439654021,05000US01043,1,1043,10439654021,Alabama,Cullman County,AL,2020,2018,74,62
187,15000US010450201001,05000US01045,1,1045,10450201001,Alabama,Dale County,AL,2020,2018,81,71
188,15000US010450201003,05000US01045,1,1045,10450201003,Alabama,Dale County,AL,2019,2018,55,71
189,15000US010450202002,05000US01045,1,1045,10450202002,Alabama,Dale County,AL,2020,2018,49,71
190,15000US010450202002,05000US01045,1,1045,10450202002,Alabama,Dale County,AL,2019,2018,52,71
191,15000US010450204001,05000US01045,1,1045,10450204001,Alabama,Dale County,AL,2020,2018,38,71
192,15000US010450204002,05000US01045,1,1045,10450204002,Alabama,Dale County,AL,2019,2018,65,71
193,15000US010450211011,05000US01045,1,1045,10450211011,Alabama,Dale County,AL,2018,2018,69,71
194,15000US010450211013,05000US01045,1,1045,10450211013,Alabama,Dale County,AL,2020,2018,60,71
195,15000US010450211022,05000US01045,1,1045,10450211022,Alabama,Dale County,AL,2018,2018,80,71
196,15000US010450211023,05000US01045,1,1045,10450211023,Alabama,Dale County,AL,2019,2018,72,71
197,15000US010450214001,05000US01045,1,1045,10450214001,Alabama,Dale County,AL,2018,2018,66,71
198,15000US010450214004,05000US01045,1,1045,10450214004,Alabama,Dale County,AL,2019,2018,85,71
199,15000US010479562021,05000US01047,1,1047,10479562021,Alabama,Dallas County,AL,2018,2018,54,98
200,15000US010479562022,05000US01047,1,1047,10479562022,Alabama,Dallas County,AL,2018,2018,77,98
